agent_id,agency_id,agent_name,hire_date,status,email,experience_years,certification_level
1,1,"John Smith","2010-05-12","active","john.smith@allcover.com",12,"Advanced"
2,1,"Sarah Johnson","2012-08-23","active","sarah.j@allcover.com",10,"Intermediate"
3,1,"Michael Lee","2015-04-10","inactive","mike.lee@allcover.com",8,"Basic"
4,2,"Emily Wilson","2011-07-15","active","e.wilson@safeguard.com",11,"Expert"
5,2,"Daniel Brown","2013-09-30","active","d.brown@safeguard.com",9,"Advanced"
6,3,"Jessica Martinez","2009-03-18","active","jess.m@premierprotection.com",13,"Expert"
7,3,"Robert Taylor","2014-11-05","active","r.taylor@premierprotection.com",8,"Intermediate"
8,4,"Lisa Anderson","2013-02-28","active","l.anderson@midwestins.com",9,"Advanced"
9,4,"Kevin Davis","2016-06-10","inactive","k.davis@midwestins.com",6,"Basic"
10,5,"Jennifer Moore","2016-05-17","active","j.moore@atlanticcoverage.com",6,"Intermediate"
11,6,"Thomas Wilson","2010-04-22","active","t.wilson@mountainstate.com",12,"Advanced"
12,7,"Patricia Harris","2012-07-09","active","p.harris@capitalbenefits.com",10,"Expert"
13,8,"Mark Johnson","2015-01-14","active","m.johnson@sunshinestate.com",7,"Intermediate"
14,9,"Laura Martinez","2011-08-29","active","l.martinez@goldengate.com",11,"Advanced"
15,10,"Christopher Lee","2014-03-05","inactive","c.lee@heartland.com",8,"Basic"
16,11,"Melissa Brown","2013-06-18","active","m.brown@empirestate.com",9,"Advanced"
17,12,"Andrew Wilson","2017-05-01","active","a.wilson@southerncomfort.com",5,"Intermediate"
18,13,"Nicole Davis","2011-10-12","active","n.davis@rockymountain.com",11,"Expert"
19,14,"Steven Johnson","2014-07-28","active","s.johnson@greatlakes.com",8,"Advanced"
20,15,"Rebecca Anderson","2015-11-09","active","r.anderson@libertycoverage.com",7,"Intermediate"
21,1,"James Wilson","2017-04-15","active","j.wilson@allcover.com",5,"Basic"
22,2,"Catherine Park","2018-06-22","active","c.park@safeguard.com",4,"Intermediate"
23,3,"David Garcia","2016-08-30","inactive","d.garcia@premierprotection.com",6,"Basic"
24,5,"Michelle Robinson","2019-02-11","active","m.robinson@atlanticcoverage.com",3,"Basic"
25,7,"Kenneth Adams","2015-05-19","active","k.adams@capitalbenefits.com",7,"Advanced"
